"","Layer.1","Layer.2","Layer.3","Layer.4","MSE","User.Time","CPU.Time","Reutilized"
"6291",19,16,15,20,0.163099479611989,0.0600000000000023,0,0
"9090",21,24,24,24,0.163101611762594,0.0999999999999943,0,0
"14846",25,21,15,19,0.163102171620879,0.0600000000000023,0,0
"6292",19,16,18,19,0.163108237993018,0.0700000000000003,0,0
"12037",23,24,18,25,0.163109472249984,0.0799999999999983,0,0
"14847",25,17,18,15,0.163109615032111,0.0700000000000074,0,0
"3333",17,17,18,23,0.163112848329266,0.0599999999999987,0,0
"9091",21,22,17,24,0.163115154251609,0.0700000000000074,0,0
"1711",16,22,21,19,0.163121756132436,0.0700000000000003,0,0
"6293",19,24,18,23,0.163121903362964,0.0599999999999952,0,0
"14848",25,18,16,15,0.163122229563552,0.0699999999999932,0,0
"7666",20,24,25,16,0.163123045524785,0.0499999999999972,0,0
"14849",25,20,25,21,0.163126667766593,0.0699999999999932,0,0
"14850",25,24,24,20,0.163130884656482,0.0799999999999841,0,0
"6294",19,25,16,20,0.163133791064249,0.0499999999999972,0,0
"13425",24,21,20,19,0.163136086842177,0.0600000000000023,0,0
"4770",18,23,19,25,0.163136160267606,0.0600000000000023,0,0
"13426",24,25,19,17,0.163139904636681,0.0799999999999983,0,0
"10380",22,19,25,NA,0.163146867834016,0.0600000000000005,0,0
"4771",18,21,21,25,0.163149845373127,0.0700000000000003,0,0
"388",15,22,22,21,0.163152677460873,0.0700000000000003,0,0
"9092",21,25,17,16,0.163155042629123,0.0500000000000114,0,0
"7667",20,15,20,16,0.163155570098149,0.0600000000000023,0,0
"9093",21,15,23,17,0.163158250337455,0.0599999999999881,0,0
"3334",17,23,16,18,0.163160694235895,0.0399999999999991,0,0
"14851",25,16,24,21,0.163161104077682,0.0600000000000023,0,0
"1712",16,19,21,23,0.163171693727822,0.0599999999999987,0,0
"13427",24,21,15,NA,0.16317834439968,0.0500000000000007,0,0
"3335",17,19,25,23,0.163179265322596,0.0799999999999983,0,0
"6295",19,25,15,23,0.163180215075222,0.0600000000000023,0,0
"9094",21,18,17,25,0.163180298090096,0.0499999999999972,0,0
"6296",19,24,15,25,0.16318532173545,0.0599999999999952,0,0
"7668",20,24,19,NA,0.163187629492467,0.0499999999999998,0,0
