"Layer 1","Layer 2","Layer 3","Layer 4","MSE","User Time","CPU Time","Reutilized"
4,5,8,14,0.758108308754454,0.01,0,0
4,5,9,4,0.652270432662401,0.01,0,0
4,5,9,5,0.639012069249269,0.01,0,0
4,5,9,6,0.630887233599792,0.01,0,0
4,5,9,7,0.682253618248385,0.02,0,0
4,5,9,8,0.763492274823796,0.02,0,0
4,5,9,9,0.678571967396492,0.02,0,0
4,5,9,10,0.594789943661475,0.0199999999999998,0,0
4,5,9,11,0.653901595434242,0.03,0,0
4,5,9,12,0.768854444260497,0.02,0,0
4,5,9,13,0.762948659169613,0.02,0,0
4,5,9,14,0.590147193910816,0.02,0,0
4,5,10,4,0.684344977319713,0,0,0
4,5,10,5,0.680398804802298,0.02,0,0
4,5,10,6,0.616231551010271,0.03,0,0
4,5,10,7,0.727611723951677,0.01,0,0
4,5,10,8,0.753149796765305,0.03,0,0
4,5,10,9,0.661440653936013,0.03,0,0
4,5,10,10,0.571940886226232,0.02,0,0
4,5,10,11,0.631237104193415,0.02,0,0
4,5,10,12,0.62209752905244,0.02,0,0
4,5,10,13,0.695253216477265,0.02,0,0
4,5,10,14,0.656152652807146,0.01,0,0
4,5,11,4,0.596748723031907,0.01,0,0
4,5,11,5,0.662788390936206,0.01,0,0
4,5,11,6,0.654002580416971,0.02,0,0
4,5,11,7,0.672982423124109,0.0199999999999998,0,0
4,5,11,8,0.61676106560991,0.03,0,0
4,5,11,9,0.614052071675379,0,0,0
4,5,11,10,0.636672612229967,0.03,0,0
4,5,11,11,0.627403397082027,0.0399999999999998,0,0
4,5,11,12,0.637125638720123,0.01,0,0
4,5,11,13,0.618345949522099,0.01,0,0
4,5,11,14,0.616397412701127,0.01,0,0
4,5,12,4,0.678948503224299,0.03,0,0
4,5,12,5,0.654864889287043,0.02,0,0
4,5,12,6,0.653302464269559,0.01,0,0
4,5,12,7,0.63450260665819,0.02,0,0
4,5,12,8,0.712571368129144,0.01,0,0
4,5,12,9,0.661731887745375,0.0199999999999998,0,0
4,5,12,10,0.641747810958488,0.02,0,0
4,5,12,11,0.659974812090808,0.03,0,0
4,5,12,12,0.684549257718604,0,0,0
4,5,12,13,0.620407650795088,0.01,0,0
4,5,12,14,0.672024270577816,0.03,0,0
4,5,13,4,0.658807539748018,0.02,0,0
4,5,13,5,0.646480366028033,0.02,0,0
4,5,13,6,0.687940848184639,0.01,0,0
4,5,13,7,0.651990125581142,0.01,0,0
4,5,13,8,0.661376970827509,0.0299999999999998,0,0
4,5,13,9,0.715127949693026,0.01,0,0
4,5,13,10,0.655508777933279,0.02,0,0
4,5,13,11,0.709943946057657,0,0,0
4,5,13,12,0.672773021597833,0.01,0,0
4,5,13,13,0.661963072863854,0.03,0,0
4,5,13,14,0.605980632933253,0.03,0,0
4,5,14,4,0.355218786280024,0.02,0,0
4,5,14,5,0.65997300169317,0.0399999999999998,0,0
4,5,14,6,0.599209368418706,0.02,0,0
4,5,14,7,0.644203684475492,0.01,0,0
4,5,14,8,0.610317973857406,0.02,0,0
4,5,14,9,0.687429012847843,0.01,0,0
