"Layer 1","Layer 2","Layer 3","Layer 4","MSE","User Time","CPU Time"
67,70,73,68,36.9996257839864,4.03,0
67,70,73,69,33.8885784441873,4.02,0
67,70,73,70,34.9786148427272,4.22000000000001,0
67,70,73,71,35.6563173171887,4.23,0
67,70,73,72,38.171250892694,4.13,0
67,70,73,73,31.9892477377012,4.14999999999999,0
67,71,67,67,37.5278659743486,3.53999999999999,0.02
67,71,67,68,38.3556369014176,3.5,0
67,71,67,69,36.4467235903234,3.86,0
67,71,67,70,35.579572961126,3.67,0
67,71,67,71,37.1860565066907,3.57000000000001,0
67,71,67,72,39.4551656068559,4.05,0
67,71,67,73,39.7802695505491,4,0
67,71,68,67,41.3429795334777,3.39,0.02
67,71,68,68,32.8852054368072,3.56999999999999,0
67,71,68,69,37.2647629509253,3.53,0
67,71,68,70,40.3073415342443,3.74000000000001,0
67,71,68,71,40.0363482589377,3.76000000000001,0
67,71,68,72,38.3192280393156,3.7,0.00999999999999995
67,71,68,73,33.6939877305353,4.16000000000001,0.02
67,71,69,67,38.404922673895,3.86,0
67,71,69,68,38.2002281653879,3.85000000000001,0
67,71,69,69,40.590733220696,3.97,0
67,71,69,70,35.9289286281247,3.92999999999999,0
67,71,69,71,35.0123393321727,3.8,0.02
67,71,69,72,36.6251128059703,3.89,0
67,71,69,73,37.2176579578091,3.89,0
67,71,70,67,38.4368968174891,3.55,0
67,71,70,68,34.3758212988474,3.68000000000001,0.01
67,71,70,69,40.3261924677163,3.56999999999999,0.02
67,71,70,70,36.5664778822563,4.17999999999999,0
67,71,70,71,35.9878455878848,4.03,0
67,71,70,72,35.1317684719318,3.97999999999999,0
67,71,70,73,31.5839560978198,4.01000000000001,0.01
67,71,71,67,37.2742820776266,4.14999999999999,0
67,71,71,68,37.087385479376,3.93000000000001,0.02
67,71,71,69,40.5827107390493,4.01000000000001,0
67,71,71,70,37.9905516249757,3.89,0
67,71,71,71,43.9614179192494,4.11,0
67,71,71,72,40.415507216516,3.91,0
67,71,71,73,41.5255397069933,3.90000000000001,0.02
67,71,72,67,35.9540601513999,4,0
67,71,72,68,40.9488364697696,4.14999999999999,0.02
67,71,72,69,36.3841500468683,4.06,0.01
